month,total,timeRange.start,timeRange.end,,countryCode,country_Name,Two_Letter_Country_Code
2006-02-01T00:00:00.000Z,3557688,2006-02-01T00:00:00.000Z,2006-03-01T00:00:00.000Z,,GE,Curaçao,BJ
2006-03-01T00:00:00.000Z,4107147,2006-03-01T00:00:00.000Z,2006-04-01T00:00:00.000Z,,LU,"Cyprus, Republic of",DK
2006-04-01T00:00:00.000Z,3987202,2006-04-01T00:00:00.000Z,2006-05-01T00:00:00.000Z,,PR,"Cyprus, Republic of",DM
2006-05-01T00:00:00.000Z,4576863,2006-05-01T00:00:00.000Z,2006-06-01T00:00:00.000Z,,SI,Czech Republic,DO
2006-06-01T00:00:00.000Z,4557688,2006-06-01T00:00:00.000Z,2006-07-01T00:00:00.000Z,,UY,"Denmark, Kingdom of",EC
2006-07-01T00:00:00.000Z,4764318,2006-07-01T00:00:00.000Z,2006-08-01T00:00:00.000Z,,CY,Disputed Territory,SV
2006-08-01T00:00:00.000Z,5371965,2006-08-01T00:00:00.000Z,2006-09-01T00:00:00.000Z,,EE,"Djibouti, Republic of",GQ
2006-09-01T00:00:00.000Z,4926790,2006-09-01T00:00:00.000Z,2006-10-01T00:00:00.000Z,,IS,"Dominica, Commonwealth of",ET
2006-10-01T00:00:00.000Z,5394890,2006-10-01T00:00:00.000Z,2006-11-01T00:00:00.000Z,,LV,Dominican Republic,ER
2006-11-01T00:00:00.000Z,5529655,2006-11-01T00:00:00.000Z,2006-12-01T00:00:00.000Z,,MT,"Ecuador, Republic of",EE
2006-12-01T00:00:00.000Z,5566442,2006-12-01T00:00:00.000Z,2007-01-01T00:00:00.000Z,,SV,"Egypt, Arab Republic of",FO
2007-01-01T00:00:00.000Z,6201489,2007-01-01T00:00:00.000Z,2007-02-01T00:00:00.000Z,,AM,"El Salvador, Republic of",FK
2007-02-01T00:00:00.000Z,6119473,2007-02-01T00:00:00.000Z,2007-03-01T00:00:00.000Z,,DZ,"Equatorial Guinea, Republic of",GS
2007-03-01T00:00:00.000Z,6735271,2007-03-01T00:00:00.000Z,2007-04-01T00:00:00.000Z,,EC,"Eritrea, State of",FJ
2007-04-01T00:00:00.000Z,6729913,2007-04-01T00:00:00.000Z,2007-05-01T00:00:00.000Z,,KH,"Estonia, Republic of",FI
2007-05-01T00:00:00.000Z,6593616,2007-05-01T00:00:00.000Z,2007-06-01T00:00:00.000Z,,QA,"Ethiopia, Federal Democratic Republic of",AX
2007-06-01T00:00:00.000Z,5870035,2007-06-01T00:00:00.000Z,2007-07-01T00:00:00.000Z,,BN,Falkland Islands (Malvinas),FR
2007-07-01T00:00:00.000Z,5848459,2007-07-01T00:00:00.000Z,2007-08-01T00:00:00.000Z,,CR,Faroe Islands,GF
2007-08-01T00:00:00.000Z,5747957,2007-08-01T00:00:00.000Z,2007-09-01T00:00:00.000Z,,GT,"Fiji, Republic of the Fiji Islands",PF
2007-09-01T00:00:00.000Z,5769692,2007-09-01T00:00:00.000Z,2007-10-01T00:00:00.000Z,,IQ,"Finland, Republic of",TF
2007-10-01T00:00:00.000Z,6176069,2007-10-01T00:00:00.000Z,2007-11-01T00:00:00.000Z,,JE,"France, French Republic",DJ
2007-11-01T00:00:00.000Z,5791642,2007-11-01T00:00:00.000Z,2007-12-01T00:00:00.000Z,,JO,French Guiana,GA
2007-12-01T00:00:00.000Z,5666573,2007-12-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,,ME,French Polynesia,GE
2008-01-01T00:00:00.000Z,6253115,2008-01-01T00:00:00.000Z,2008-02-01T00:00:00.000Z,,MU,French Southern Territories,GE
2008-02-01T00:00:00.000Z,6056927,2008-02-01T00:00:00.000Z,2008-03-01T00:00:00.000Z,,PA,"Gabon, Gabonese Republic",GM
2008-03-01T00:00:00.000Z,6702619,2008-03-01T00:00:00.000Z,2008-04-01T00:00:00.000Z,,TN,"Gambia, Republic of the",PS
2008-04-01T00:00:00.000Z,6237992,2008-04-01T00:00:00.000Z,2008-05-01T00:00:00.000Z,,TZ,Georgia,DE
2008-05-01T00:00:00.000Z,6256674,2008-05-01T00:00:00.000Z,2008-06-01T00:00:00.000Z,,UG,Georgia,GH
2008-06-01T00:00:00.000Z,5863939,2008-06-01T00:00:00.000Z,2008-07-01T00:00:00.000Z,,AF,"Germany, Federal Republic of",GI
2008-07-01T00:00:00.000Z,5802784,2008-07-01T00:00:00.000Z,2008-08-01T00:00:00.000Z,,BS,"Ghana, Republic of",KI
2008-08-01T00:00:00.000Z,5834047,2008-08-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,,GG,Gibraltar,GR
2008-09-01T00:00:00.000Z,6114317,2008-09-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,,HN,"Greece, Hellenic Republic",GL
2008-10-01T00:00:00.000Z,6222415,2008-10-01T00:00:00.000Z,2008-11-01T00:00:00.000Z,,IM,Greenland,GD
2008-11-01T00:00:00.000Z,5681990,2008-11-01T00:00:00.000Z,2008-12-01T00:00:00.000Z,,JM,Grenada,GP
2008-12-01T00:00:00.000Z,5581024,2008-12-01T00:00:00.000Z,2009-01-01T00:00:00.000Z,,MD,Guadeloupe,GU
2009-01-01T00:00:00.000Z,6009394,2009-01-01T00:00:00.000Z,2009-02-01T00:00:00.000Z,,MH,Guam,GT
2009-02-01T00:00:00.000Z,5699379,2009-02-01T00:00:00.000Z,2009-03-01T00:00:00.000Z,,MN,"Guatemala, Republic of",GN
